district,zone_name,latitude,longitude,street_lamp_count_500m,primary_road_count_500m,secondary_road_count_500m,tertiary_road_count_500m,residential_road_count_500m,service_road_count_500m,footway_path_count_500m,pedestrian_road_count_500m,unclassified_road_count_500m,bus_station_count_500m,rail_station_count_500m,market_count_500m,shop_count_500m,school_college_count_500m,hospital_count_500m,police_count_3km,nearest_police_distance_km,light_score,road_quality,alley_density,transport_hub_score,public_place_density,police_distance_risk,environmental_risk_score
Netrokona,Netrokona Bus Terminal,24.873765,90.718349,0,1,0,3,6,3,0,0,8,1,0,1,3,0,0,3,1.013,0.45,0.517,0.55,0.2,0.167,0.338,39.13
Netrokona,Netrokona Railway Station,24.8724,90.728275,0,4,3,4,16,4,0,0,5,0,0,3,5,4,1,3,0.0,0.45,0.808,0.45,0.0,0.533,0.0,30.88
Netrokona,Netrokona Sadar,24.867111,90.74224,0,0,0,0,13,0,2,0,3,0,0,0,0,0,0,2,1.527,0.45,0.35,0.25,0.0,0.0,0.509,30.84
Nilphamari,Nilphamari General Hospital,25.930674,88.845377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Nilphamari,Nilphamari Railway Station,25.95281,88.83462,0,1,0,2,4,0,0,0,0,0,1,0,0,0,0,0,3.0,0.45,0.475,0.0,0.2,0.0,1.0,32.88
Nilphamari,Nilphamari Sadar,25.94167,88.84667,0,1,0,2,2,0,0,0,4,1,0,1,12,2,1,0,3.0,0.45,0.475,0.2,0.2,0.567,1.0,45.38
Nilphamari,Saidpur Railway Station,25.79552,88.88684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Noakhali,Chowmuhani,22.816467,91.121505,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.392,0.0,0.0,0.0,1.0,30.12
Noakhali,Maijdee Court,22.816467,91.121505,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.392,0.0,0.0,0.0,1.0,30.12
Pabna,Abdul Hamid Road,24.00644,89.2372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Pabna,Pabna Bus Terminal,24.007491,89.256482,0,0,1,2,19,4,0,0,0,4,0,3,9,1,0,1,1.687,0.45,0.475,0.2,0.8,0.533,0.562,52.5
Pabna,Pabna Medical College,24.004431,89.209128,0,1,0,0,8,0,1,0,2,0,0,0,0,1,1,0,3.0,0.45,0.392,0.15,0.0,0.067,1.0,34.12
Pabna,Pabna Railway Station,24.008883,89.239939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Pabna,Pabna Sadar,24.00644,89.2372,0,3,1,1,30,0,0,0,4,1,0,2,2,6,0,1,0.389,0.45,0.558,0.2,0.2,0.4,0.13,32.92
Panchagarh,Panchagarh Bus Terminal,26.328075,88.547518,0,0,3,0,14,1,1,0,7,1,0,2,3,2,0,1,0.825,0.45,0.475,0.45,0.2,0.3,0.275,39.12
Panchagarh,Panchagarh Railway Station,26.332532,88.554121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Panchagarh,Panchagarh Sadar,26.33338,88.55777,0,0,0,2,8,2,0,0,20,0,0,3,15,3,1,3,0.373,0.45,0.433,1.0,0.0,0.833,0.124,53.24
Panchagarh,Panchagarh Sadar Hospital,26.340146,88.556365,0,0,0,0,11,0,1,0,9,0,0,0,8,2,6,3,0.877,0.45,0.35,0.5,0.0,0.533,0.292,41.67
Panchagarh,Tetulia Road,26.33338,88.55777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Patuakhali,New Market Patuakhali,22.825079,89.551495,292,0,10,1,23,2,0,0,0,4,0,1,4,1,0,7,0.4,0.9,0.808,0.1,0.8,0.233,0.133,27.71
Patuakhali,Patuakhali Bus Terminal,22.357044,90.31878,0,3,2,0,16,0,1,0,0,1,0,0,2,0,0,3,1.289,0.45,0.558,0.05,0.2,0.067,0.43,27.92
Patuakhali,Patuakhali Launch Terminal,22.358265,90.352292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Patuakhali,Patuakhali Medical College,22.363157,90.327189,0,0,1,2,23,4,5,0,1,0,0,0,1,0,2,3,0.406,0.45,0.475,0.5,0.0,0.1,0.135,31.73
Patuakhali,Patuakhali Sadar,22.25914,90.31838,0,0,0,0,7,0,10,0,2,0,0,0,0,0,0,0,3.0,0.45,0.35,0.6,0.0,0.0,1.0,42.75
Bogura,Bogura Shaheed Ziaur Rahman Medical College,24.82672,89.35267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Rajbari,Rajbari Railway Station,23.7629,89.6452,0,0,0,10,29,0,8,0,0,1,1,0,1,8,0,3,0.577,0.45,0.767,0.4,0.4,0.3,0.192,36.92
Shariatpur,Angaria Bazar,23.2114,90.3235,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,2.698,0.45,0.35,0.05,0.0,0.0,0.899,30.74
Pirojpur,Pirojpur Govt Suhrawardy College,23.708932,90.416467,0,2,12,15,66,3,13,1,1,0,0,3,234,25,1,26,0.347,0.45,0.85,0.9,0.0,1.0,0.116,47.41
Pirojpur,Pirojpur Launch Ghat,22.57965,89.97521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Rajbari,Goalanda Ghat,23.725822,89.763305,0,0,0,1,4,0,0,0,4,0,1,1,0,6,0,1,0.1,0.45,0.392,0.2,0.2,0.267,0.033,32.46
Rajbari,Rajbari Bus Terminal,22.684085,90.067419,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,3.0,0.45,0.35,0.15,0.0,0.067,1.0,34.75
Rajbari,Rajbari Sadar,23.75726,89.64632,0,0,0,7,20,0,3,0,1,0,0,0,10,6,0,3,0.293,0.45,0.642,0.2,0.0,0.533,0.098,29.35
Rajbari,Rajbari Sadar Hospital,23.755,89.65,0,0,0,0,15,0,0,0,0,0,0,0,0,4,0,3,0.675,0.45,0.35,0.0,0.0,0.133,0.225,25.0
Rajshahi,Laxmipur Rajshahi,24.37443,88.603999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Rajshahi,Rajshahi Medical College,24.372,88.586397,0,0,8,0,59,53,4,0,0,0,0,0,1,6,9,16,0.779,0.45,0.683,1.0,0.0,0.533,0.26,46.35
Rajshahi,Rajshahi Railway Station,24.374993,88.60861,0,6,4,1,73,5,0,0,3,2,1,1,3,2,0,6,0.31,0.45,0.808,0.4,0.6,0.233,0.103,38.41
